School_code,School_name,Country,State,Town_suburb,Postcode,# Students,Level_of_schooling,County,Latitude,Longitude
3794,Bald Face Public School,Australia,New South Wales,Blakehurst ,2221,273,Primary School,Georges River,-33.996752,151.106905
3795,Hamilton South Public School,Australia,New South Wales,Merewether ,2291,434,Primary School,Newcastle,-32.93344,151.753489
3796,Lugarno Public School,Australia,New South Wales,Lugarno ,2210,270,Primary School,Georges River,-33.984956,151.044676
3797,Oatley West Public School,Australia,New South Wales,Oatley,2223,579,Primary School,Georges River,-33.979006,151.065459
3798,New Lambton South Public School,Australia,New South Wales,New Lambton ,2305,462,Primary School,Newcastle,-32.931487,151.717578
3808,Chullora Public School,Australia,New South Wales,Greenacre ,2190,301,Primary School,Canterbury-Bankstown,-33.895371,151.060249
3820,Tarrawanna Public School,Australia,New South Wales,Tarrawanna ,2518,127,Primary School,Wollongong,-34.380764,150.890246
3822,Sutherland North Public School,Australia,New South Wales,Sutherland ,2232,258,Primary School,Sutherland Shire,-34.026785,151.067084
3824,Bathurst West Public School,Australia,New South Wales,Bathurst ,2795,475,Primary School,Bathurst Regional,-33.411002,149.559746
3826,Gwynneville Public School,Australia,New South Wales,Gwynneville ,2500,232,Primary School,Wollongong,-34.417233,150.879364
3827,Narraweena Public School,Australia,New South Wales,NARRAWEENA,2099,477,Primary School,Northern Beaches,-33.7492,151.273639
3829,Jannali Public School,Australia,New South Wales,JANNALI,2226,138,Primary School,Sutherland Shire,-34.017945,151.060909
3830,Ramsgate Public School,Australia,New South Wales,Ramsgate ,2217,541,Primary School,Bayside,-33.981431,151.143549
3831,Chalmers Road School,Australia,New South Wales,Strathfield ,2135,64,Schools for Specific Purposes,Strathfield,-33.879569,151.081613
3833,Wahroonga Public School,Australia,New South Wales,Wahroonga ,2076,732,Primary School,Ku-Ring-Gai,-33.715583,151.128476
3840,Parramatta East Public School,Australia,New South Wales,Parramatta ,2150,529,Primary School,Parramatta,-33.806081,151.017766
3846,Melrose Park Public School,Australia,New South Wales,West Ryde ,2114,210,Primary School,Parramatta,-33.814849,151.071939
3847,Bathurst South Public School,Australia,New South Wales,Bathurst ,2795,246,Primary School,Bathurst Regional,-33.432989,149.568873
3851,Wallsend South Public School,Australia,New South Wales,Wallsend ,2287,533,Primary School,Newcastle,-32.920075,151.675241
3854,Hazelbrook Public School,Australia,New South Wales,Hazelbrook ,2779,409,Primary School,Blue Mountains,-33.726554,150.459399
3855,Turramurra Public School,Australia,New South Wales,Turramurra ,2074,566,Primary School,Ku-Ring-Gai,-33.745258,151.114305
3856,Wyrallah Road Public School,Australia,New South Wales,Lismore ,2480,517,Primary School,Lismore,-28.830301,153.293261
3860,Oak Flats Public School,Australia,New South Wales,Oak Flats ,2529,437,Primary School,Shellharbour,-34.56257,150.817546
3862,Denistone East Public School,Australia,New South Wales,Eastwood ,2122,757,Primary School,Ryde,-33.7943,151.096571
3863,Meadowbank Public School,Australia,New South Wales,Ryde ,2112,388,Primary School,Ryde,-33.817807,151.097677
3864,Uralla Central School,Australia,New South Wales,Uralla ,2358,310,Central/Community School,Uralla,-30.641511,151.494437
3866,Towradgi Public School,Australia,New South Wales,Fairy Meadow,2519,159,Primary School,Wollongong,-34.388937,150.899966
3867,Lake Illawarra South Public School,Australia,New South Wales,LAKE ILLAWARRA,2528,235,Primary School,Shellharbour,-34.539523,150.859302
3869,Yagoona Public School,Australia,New South Wales,Yagoona ,2199,560,Primary School,Canterbury-Bankstown,-33.909174,151.026716
3871,Wattle Grove Public School,Australia,New South Wales,Wattle Grove ,2173,616,Primary School,Liverpool,-33.958654,150.937482
3872,Greenwell Point Public School,Australia,New South Wales,Greenwell Point ,2540,91,Primary School,Shoalhaven,-34.907445,150.730396
3873,Dobroyd Point Public School,Australia,New South Wales,HABERFIELD,2045,243,Primary School,Inner West,-33.874416,151.140692
3874,Kahibah Public School,Australia,New South Wales,Kahibah ,2290,343,Primary School,Lake Macquarie,-32.964902,151.713608
3875,Narwee Public School,Australia,New South Wales,Narwee ,2209,297,Primary School,Canterbury-Bankstown,-33.948186,151.06865
3876,Muswellbrook South Public School,Australia,New South Wales,Muswellbrook ,2333,541,Primary School,Muswellbrook,-32.274182,150.891943
3877,Corrimal East Public School,Australia,New South Wales,East Corrimal,2518,216,Primary School,Wollongong,-34.377988,150.906532
3881,Mount St Thomas Public School,Australia,New South Wales,Wollongong ,2500,349,Primary School,Wollongong,-34.436911,150.870048
3882,Tamworth South Public School,Australia,New South Wales,Tamworth ,2340,629,Primary School,Tamworth Regional,-31.105062,150.911701
3883,Westmead Public School,Australia,New South Wales,Westmead ,2145,1653,Primary School,Cumberland,-33.810171,150.985291
3885,Mount Colah Public School,Australia,New South Wales,Mount Colah ,2079,464,Primary School,Hornsby,-33.672947,151.115695
3886,McCallums Hill Public School,Australia,New South Wales,Roselands,2196,388,Primary School,Canterbury-Bankstown,-33.934891,151.084758
3890,Cooma North Public School,Australia,New South Wales,Cooma North ,2630,324,Primary School,Snowy Monaro Regional,-36.217908,149.130576
3893,Windale Public School,Australia,New South Wales,Windale ,2306,171,Primary School,Lake Macquarie,-32.992372,151.678338
3895,Cardiff South Public School,Australia,New South Wales,Cardiff South,2285,303,Primary School,Lake Macquarie,-32.953106,151.66521
3896,Como West Public School,Australia,New South Wales,Como ,2226,363,Primary School,Sutherland Shire,-34.004744,151.060505
3897,Hamilton North Public School,Australia,New South Wales,Broadmeadow ,2292,160,Primary School,Newcastle,-32.917442,151.734207
3898,Marks Point Public School,Australia,New South Wales,Marks Point ,2280,151,Primary School,Lake Macquarie,-33.057486,151.650131
3903,Glen Alice Public School,Australia,New South Wales,Glen Alice ,2849,10,Primary School,Lithgow,-33.040623,150.214727
3904,Argenton Public School,Australia,New South Wales,Argenton ,2284,31,Primary School,Lake Macquarie,-32.938493,151.629533
3905,Pagewood Public School,Australia,New South Wales,Botany ,2019,285,Primary School,Bayside,-33.942104,151.214172
3906,Narrabeen North Public School,Australia,New South Wales,NORTH NARRABEEN,2101,697,Primary School,Northern Beaches,-33.699095,151.298134
3908,Lane Cove West Public School,Australia,New South Wales,Lane Cove,2066,589,Primary School,Lane Cove,-33.809886,151.152003
3909,Taree West Public School,Australia,New South Wales,Taree ,2430,536,Primary School,Mid-Coast,-31.907599,152.444547
3912,Palinyewah Public School,Australia,New South Wales,ELLERSLIE,2648,12,Primary School,Wentworth,-33.845011,142.012741
3914,Grays Point Public School,Australia,New South Wales,Grays Point ,2232,389,Primary School,Sutherland Shire,-34.058656,151.0723
